日期	问题	平台	苏能（有/无）	网址1	网址2	网址3	网址4	网址5	网址6	网址7	网址8	网址9	网址10	网址11	网址12	网址13	网址14	网址15	
8月11日	工业炉节能改造厂家 	豆包	无	https://www.chinanecc.cn/upload/File/1410508395515.pdf	https://ceri.com.cn/ywcp/yjyw/ggss/	https://www.gmpsp.org.cn/portal/article/index/id/4296/cid/109.html	https://www.douyin.com/video/7642674234041457524?previous_page=app_code_link	https://gxt.hebei.gov.cn/hbgyhxxht/ztzl11/jyzq/sjz/2025121510055358225/index.html	https://www.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1278117/n1648113/c3870738/part/3870739.pdf	https://www.maigoo.com/best/44185.html	https://bj.lieju.com/qitashangwufuwu/93714761.html	https://www.docin.com/p-4944444001.html	https://www.douyin.com/video/7669710643691392256	https://www.yulicorp.com/	http://www.hehenengyuan.com/about/qualifications.html	https://www.miit.gov.cn/n1146285/n1146352/n3054355/n3057542/n3057545/c3650598/part/3650600.pdf	https://dataintelo.com/report/fired-heater-revamp-services-market	https://www.cdjnhy.com/p-about.html	
		Deepseek	无	https://www.glass.com.cn/gogo138/profile.html	https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E7%A7%91%E5%A4%A7%E8%B5%9B%E8%83%BD%E6%9D%B0/12777135	https://www.toutiao.com/article/7560603427894575650/?wid=1783663282405	http://www.11467.com/maanshan/co/5076.htm	https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E4%B8%AD%E5%B1%B1%E5%B7%A5%E4%B8%9A%E7%82%89%E5%B7%A5%E7%A8%8B%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	http://ynjn.yn.gov.cn/cnMb/jnzs/8615.html	http://www.hvacr.cn/companys/15934436.html	https://baike.baidu.com/item/%E5%B8%B8%E5%B7%9E%E5%B8%82%E8%8B%8F%E8%83%BD%E5%B7%A5%E4%B8%9A%E7%82%89%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	http://www.gongkong.com/article/202606/115024.html	https://baike.baidu.com/item/%E5%9B%9B%E5%B7%9D%E7%A7%91%E8%BE%BE%E8%8A%82%E8%83%BD%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	http://www.cnpowder.com.cn/show/ns31956/product_327372.html	https://www.metallurgy-expo.com.cn/0181.html				
		元宝	无	https://www.zgswcn.com/shangxun/news.html?aid=623033	https://www.hc-heattech.com/nav14-67.html	https://www.hangyeob.com/archives/146920.html	https://www.hangyeob.com/archives/158690.html	https://www.11467.com/qiye/30630430.htm	https://www.hangyeob.com/archives/174298.html	http://www.jzdushiw.cn/xinwen/1290714.html	https://www.toutiao.com/article/7611995689279373843/?&source=m_redirect&wid=1786418267343	http://www.425325.com/	https://fs.m2.com.cn/shop/20686580	http://www.chinakiln.net/sell/201304/17/sell_info_9919.html	https://m.maigoo.com/maigoo/10248gyl_index.html	http://m.qy6.com.cn/company-aqihuang.html	http://m.qy6.com.cn/company-aqihuang.html	https://www.jdzol.com/detuiyi/Article-P2ANQHyj-550.html	
8月11日	老旧热处理炉改造还是新买	豆包	无	https://www.douyin.com/video/7496065647261044020	https://www.douyin.com/video/7663394771385520357?previous_page=app_code_link	https://www.douyin.com/video/7672317710798549873	https://horizonpfm.com/blog/retrofit-vs-replacement-worksheethow-to-decide-heat-processing-equipment/	https://www.leybold.cn/zh-cn/knowledge/blog/new-heat-treat-furnace	https://mf.mw1950.com/en/article/pdf/preview/e6b590cb-d144-4b35-ac79-c96c048fb5bb.pdf	https://www.ecoreheating.com/blog/preventing-downtime-auditing-heat-loss-legacy-furnaces	https://www.docin.com/p-4945642878.html	https://www.ggzzchina.com/cn/article/pdf/preview/9e5ecbb2-ac9f-45f6-8f44-c721c2fa54aa.pdf	https://www.lyhryl.com/index.php/newsinfo/870.html	https://www.lyhryl.com/index.php/newsinfo/870.html	https://m.chem17.com/st561240/article_4518277.html	https://www.docin.com/p-4921615746.html	http://www.yuguangkiln.com/3g/show.asp?m=1&d=3185	https://www.foreverfurnace.com/news/intelligent-slab-induction-heat-treatment-production-line.html	
		Deepseek	无	https://hwjrgz.chem17.com/tech/4514015.html	https://news.steelhome.com/2025/07/09/n4490962.html?type=old	https://www.auto1950.com/cn/article/pdf/preview/31fd6c75-3db6-4fe5-8890-ddc1efc766b2.pdf#1#1	http://www.rclbbs.com/forum.php?mod=viewthread&tid=14287&page=12&authorid=34492	https://www.steelhome.com/detailspage.php?nid=4490962&ntype=n	https://wap.cnki.net/touch/web/Journal/Article/GCJS603.004.html	https://www.asminternational.org/heat-treat-mexico-2024/wp-content/uploads/sites/55/2024/02/Thomas-Wilkins-Surface-Combustion.pdf#1#1	https://wap.cnki.net/huiyi-ZGJS201011003104.html	https://www.avic.com/mobile/c/2026-04-14/642550.shtml	https://www.zystgy.cn/a/56246	http://www.julang.com.cn/reculi/newsdetail.asp?nid=3746					
		元宝	有	https://www.jssngyl.cn/zh/articles/laojiu-rechuli-lu-daxiu-haishi-maixin	http://ynjn.yn.gov.cn/cnPc/jnzs/7598.html	https://news.qq.com/rain/a/20260616A044ZT00?refer=cp_1009	https://www.jssngyl.cn/zh/news/lao-jiu-re-chu-li-lu-shi-da-xiu-hao-hai-shi-zhi-jie-mai-xin-de-pan-duan-biao-zhun-he-gai-zao-fang-an-zen-me-xuan	https://images.mofcom.gov.cn/bgt/201404/20140402153411423.pdf	https://mp.weixin.qq.com/s?src=11&timestamp=1786423222&ver=6897&signature=zajubEKbhNu8f*9r-8htmkm*VviIw3DlbuHApT1CnUeb9bkpEzlu1NGWdD56-akxXVeixuh4CplVlE1ADWiEHkEYEpGRHAWwZBDFfhrf-YTRHITWE9VgzQKCeP3cTKct&new=1	https://www.asminternational.org/heat-treat-mexico-2024/wp-content/uploads/sites/55/2024/02/Thomas-Wilkins-Surface-Combustion.pdf#1#1	http://big5.www.gov.cn/gate/big5/www.gov.cn/zhengce/zhengceku/202404/content_6944252.htm	https://anmaichuban.com/static/upload/file/20260316/1773638653452411.pdf	https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/201907/t20190712_709309.html	https://www.avic.com/mobile/c/2026-04-14/642550.shtml	https://gxj.suqian.gov.cn/sjxw/tzgg/202507/9f40c92d06794f45bce931b9f0921ecf.shtml	https://max.book118.com/html/2026/0405/5034341311013143.shtm	https://www.cbmma.com.cn/cma/detail.html?id=84&contentId=770	http://www.yiwu.com.cn/zixun/Article-jpWUBo-793200.html	
8月11日	热处理炉温度不均怎么整改  	豆包	无																
		Deepseek	无	https://wap.cnki.net/touch/web/Journal/Article/YJLY199905013.html	https://www.cnki.com.cn/Article/CJFDTOTAL-JSRC202502043.htm	http://jxyj1978.com/article/doi/10.16576/j.ISSN.1007-4414.2026.04.007?viewType=citedby-info	http://dianda.cqvip.com/Qikan/Article/Detail?id=7106800845	https://d.wanfangdata.com.cn/periodical/gyjr201405010	https://d.wanfangdata.com.cn/periodical/szyxsj202410007	http://rjggy.net/cn/article/pdf/preview/10.14158/j.cnki.1001-3814.20201075.pdf#2#1	http://www.gmachineinfo.com/zhqkdetail.aspx?id=309575098	http://cjournal.hep.com.cn/1671-6620/CN/1179741698252776236	https://d.wanfangdata.com.cn/periodical/ChdQZXJpb2RpY2FsQ0hJU29scjlRdWljaxITYnR6eWpzeHl4YjIwMjUwNDAxMhoIOWl1MW02Y3o%3D	https://wap.cnki.net/touch/web/Journal/Article/HLGX199401010.html	https://m.qikan.cqvip.com/article/ArticleDetail?id=7202323467				
		元宝	无	http://www.dtfhly.com/news/602.html	http://www.dnrmfl.com/Article-4457450.html	https://www.beijianzhongxin.com/qt/xn/155932/	https://www.qiyeku.cn/xinwen/10784364.html	https://www.chem17.com/tech_news/detail/4364829.html	https://scjgj.shanxi.gov.cn/zwgk/jgfl/gstg/202408/P020240827595137374157.pdf	https://re-atlantis.tw/zh-hant/furnace-temperature-distribution-solution	https://www.longjingzk.com/news/814.html	http://www.czdyrcl.com/news/183082.html	https://fsgmdg.com/s001news/10262	https://ipsenglobal.com/es/knowledge-center/using-digitrim-to-achieve-temperature-uniformity/	https://www.carpentertechnology.com/blog/forging-difficult-alloys	http://www.dnrmfl.com/Article-4098319.html	http://www.yingdamai.com/news_xx.asp?msg=178	https://www.antpedia.com/standard/1613479179-10.html	
8月11日	工业炉耗电量高怎么改造	豆包	无																
		Deepseek	无	http://ynjn.yn.gov.cn/cnMb/jnzs/8615.html	https://m.china-mcc.com/prod_show-147683.html	https://cloud.kepuchina.cn/h5/detail?id=7301702823463145472	https://www.kczg.org.cn/fruit/detail?id=727209	http://www.gongkong.com/article/202606/115024.html	https://www.ruizeny.com/jienengjishujnzsdetail/20260324418.html	https://www.ruizeny.com/jienengjishujnzsdetail/20260324418.html	https://www.metallurgy-expo.com.cn/0181.html	https://www.wuxi.gov.cn/doc/2025/07/22/4616372.shtml	http://www.jsgt.org.cn/index.php/Wap/Index/art/a_id/36270/c_id/40.html	http://www.jsgt.org.cn/index.php/Wap/Index/art/a_id/36270/c_id/40.html	https://baike.baidu.com/item/%e5%b7%a5%e6%a5%ad%e7%88%90/475419				
